word,clicks,impressions,cost,convertedClicks
wants,6,5,7.51,0,
hearing,1,3,0.35,0,
roxanne,4,4,3.6199999999999997,0,
gilbertsville,2,2,2.2800000000000002,0,
huntersville,2,3,0.97,0,
walbrecher,1,1,1.16,0,
mavis,1,1,0.94,0,
ennes,2,2,0.99,0,
vanessa,7,6,4.18,0,
armstead,1,2,0.42,0,
golden,3,63,3.11,0,
bogota,3,4,6.38,0,
quincyfloridareacentbirthrecord,1,1,1.89,0,
ashdown,1,1,0.54,0,
irth,6,8,6.569999999999999,0,
gwinnett,7,39,9.04,0,
mailyan,1,1,0.88,0,
columbiana,4,11,3.86,0,
burton,2,2,0.8200000000000001,0,
susy,1,1,0.58,0,
nesto,1,1,0.74,0,
leidke,1,1,0.59,0,
pekar,1,1,0.08,0,
sharmale,1,3,0.59,0,
birrhdate,1,1,0.86,0,
certificated,2,2,1.9000000000000001,1,
joran,1,0,0.12,0,
chartier,1,1,0.86,0,
34117,2,2,1.56,0,
albion,2,5,1.6,0,
quinnten,1,1,0.53,0,
raymond,46,62,36.96000000000001,1,
purto,1,1,0.72,0,
tompson,1,2,1.99,0,
glass,6,4,4.640000000000001,0,
finding,531,1708,759.3800000000001,10,
making,1,2,0.72,0,
skolnik,1,1,1.11,0,
fultz,1,2,0.31,0,
certificates,1888,14190,2239.87,49,
moyet,1,1,0.8,0,
moyes,1,1,0.47,0,
moyer,1,1,1.79,0,
birhdates,1,2,0.64,0,
preuss,1,1,0.55,0,
century,4,6,6.95,0,
somebodies,2,2,2.1100000000000003,0,
sammc,1,1,0.66,0,
telugu,6,10,5.6,0,
weights,1,1,1.56,0,
suleimon,1,1,0.37,0,
seoul,2,3,2.65,0,
gaudron,1,1,1.66,0,
mustan,1,1,0.97,0,
pillar,2,4,1.18,0,
brewer,9,10,6.8500000000000005,0,
vittorio,1,1,0.51,0,
bouchard,1,1,0.25,0,
herrera,6,9,5.469999999999999,0,
visions,1,4,0.43,0,
stanca,2,2,1.7199999999999998,0,
findish,1,1,0.51,0,
jimmy,7,7,3.5999999999999996,0,
anreas,1,1,1.48,0,
kim,19,40,16.94,0,
dudley,4,6,3.04,0,
gianna,1,2,0.66,0,
tavolacci,1,2,0.84,0,
kia,2,2,1.9300000000000002,0,
buehler,1,1,1.35,0,
gianne,1,1,0.8,1,
crider,1,1,1.52,0,
kid,8,14,13.010000000000002,0,
vignola,1,1,0.52,0,
dobbins,1,1,0.33,0,
dalia,1,1,0.22,0,
salol,1,1,0.93,1,
mcminn,6,8,7.319999999999999,0,
julson,1,0,0.43,0,
kio,2,2,2.9699999999999998,1,
kip,1,2,0.83,0,
collegeville,1,1,0.52,0,
supt,1,1,0.03,0,
stance,1,1,1.08,0,
black,22,49,17.09,0,
lohse,1,3,0.71,0,
audrain,1,1,0.41,0,
ragistration,1,1,0.97,0,
mounth,1,1,0.8,0,
kuriatnyk,1,1,0.45,0,
elliot,9,117,5.52,0,
kishwaukee,1,1,1.24,0,
hazelton,2,2,3.2199999999999998,0,
snakes,1,2,0.86,0,
jabbie,2,1,0.64,0,
delgatto,1,1,0.4,0,
pensaxola,2,4,3.02,0,
mcintosh,4,3,1.88,0,
mounts,1,1,1.84,0,
fitzcharles,1,1,0.36,0,
robertsville,1,1,0.1,0,
timothy,43,42,29.819999999999997,1,
orek,1,1,0.27,0,
discovery,1,1,0.17,0,
datebof,1,3,1.12,0,
broughton,5,7,2.69,0,
hospitalization,1,3,0.36,0,
goldsby,1,3,0.63,0,
boca,5,9,2.31,0,
weaber,2,4,0.59,0,
zuckerman,1,1,0.98,0,
wisconsinbirthrecords,1,1,1.44,0,
stein,4,7,2.84,0,
marissa's,1,1,0.25,0,
summerset,1,1,0.53,0,
klug,1,1,1.91,0,
northport,1,3,1.2,0,
comanche,3,4,2.7699999999999996,0,
atascadero,1,1,0.26,0,
prue,2,3,1.4700000000000002,0,
hungary,10,14,13.47,0,
sprowl,1,1,2.75,0,
caulie,1,2,1.75,0,
23520,2,2,2.95,0,
weighed,4,7,3.9799999999999995,0,
ditocco,1,1,0.88,0,
boaz,2,1,1.31,0,
bisordi,2,2,0.63,0,
babcock,1,1,1.38,0,
lyndon,2,2,0.6900000000000001,0,
daley,1,2,1.57,0,
darmstadt,4,11,4.66,0,
pillon,1,1,0.32,0,
nothing,3,3,2.9,0,
elline,1,1,0.64,0,
childre,1,1,2.33,0,
marovic,1,2,1.32,1,
knapper,2,3,0.91,0,
bobe,1,1,0.79,0,
comments,1,3,0.47,0,
body,2,2,2.59,0,
broady,1,1,1.8,1,
$10,1,1,3.05,0,
ertman,1,1,1.11,0,
robbins,3,6,2.1500000000000004,0,
wunderlich,1,1,0.55,0,
jackie,14,23,11.91,0,
smolenyak,1,1,1.3,0,
hudson,21,25,19.05,0,
cleveland,58,227,59.25000000000001,0,
norah,1,2,0.23,0,
zumpano,1,1,1.41,0,
rocker,1,1,1.5,0,
waltrrboro,1,1,0.21,0,
findadogtoadopt,1,1,1.6,0,
ken,11,13,8.879999999999999,1,
laudick,1,2,1.38,0,
deblanc,1,1,0.99,0,
boer,1,1,1.46,0,
begley,1,1,1.54,0,
ithaca,4,5,2.45,0,
legrand,1,1,1.66,0,
brownsboro,1,1,0.35,0,
erma,2,2,2.15,0,
magdalena,3,3,3.05,0,
coun,1,0,1.47,0,
walt,3,9,2.03,0,
freeaccess,1,1,1.63,0,
cour,1,1,1.86,0,
odisha,1,1,0.44,0,
wolk's,1,1,1.67,0,
wald,1,1,1.25,0,
wale,1,4,0.32,0,
mckeith,1,1,0.27,0,
cove,3,5,2.3000000000000003,0,
kohlhausen,1,1,0.89,0,
orab,1,0,0.88,0,
kittredge,1,3,1.2,0,
marius,1,3,0.63,0,
walk,2,2,1.63,0,
wall,3,5,4.41,0,
ferrigno,1,2,0.32,0,
barge,2,1,1.8,0,
documnet,1,1,0.96,0,
cogburn's,1,1,0.58,0,
dateofbirthanld,2,1,2.32,0,
carlisle,5,4,4.13,0,
organization,1,1,0.39,0,
mccandless,1,1,0.89,0,
salum,1,2,0.45,0,
wake,11,19,15.319999999999999,0,
kck,1,2,0.56,0,
