word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
omaha,32,131,20.34,1,$20.34 ,,travel,22,314,13.8,0
ss,28,78,20.32,1,$20.32 ,,not,22,30,13.76,0
raymond,126,193,81.16,4,$20.29 ,,35th,24,40,13.75,0
carl,85,157,60.79,3,$20.26 ,,32nd,25,43,13.73,0
engineers,110,357,60.21,3,$20.07 ,,34th,22,48,13.72,0
6,38,72,19.99,1,$19.99 ,,grandfather's,13,23,13.72,0
weapons,78,1695,39.85,2,$19.93 ,,jerry,22,23,13.71,0
michael,112,155,79.12,4,$19.78 ,,turner,20,25,13.69,0
mass,35,61,19.58,1,$19.58 ,,nh,23,31,13.67,0
worldwar,27,65,19.5,1,$19.50 ,,news,23,121,13.65,0
9th,63,202,38.94,2,$19.47 ,,other,21,326,13.64,0
awards,71,335,38.9,2,$19.45 ,,gi,20,41,13.62,0
info,95,162,58.34,3,$19.45 ,,19,21,25,13.55,0
italy,156,611,96.74,5,$19.35 ,,15th,28,49,13.41,0
daniel,90,136,58.04,3,$19.35 ,,gray,19,38,13.38,0
most,32,3093,19.32,1,$19.32 ,,regt,27,42,13.38,0
cival,74,237,38.59,2,$19.29 ,,found,20,33,13.34,0
83rd,28,59,19.21,1,$19.21 ,,stone,26,31,13.33,0
women,68,513,37.84,2,$18.92 ,,wallace,20,25,13.29,0
patrick,36,70,18.9,1,$18.90 ,,events,30,71,13.24,0
hat,27,327,18.78,1,$18.78 ,,cleveland,16,21,13.22,0
shot,40,48,18.76,1,$18.76 ,,billy,20,35,13.2,0
colonel,65,144,37.51,2,$18.76 ,,bruce,23,34,13.19,0
rifles,24,132,18.7,1,$18.70 ,,we,28,202,13.18,0
guy,25,33,18.66,1,$18.66 ,,jefferson,26,56,13.17,0
vincent,48,55,37.13,2,$18.57 ,,10,28,152,13.15,0
jersey,59,82,36.74,2,$18.37 ,,29,22,42,13.11,0
wounded,85,147,54.39,3,$18.13 ,,english,21,65,13.09,0
vernon,30,48,17.97,1,$17.97 ,,certificate,15,23,13.07,0
victor,30,54,17.94,1,$17.94 ,,patton's,22,44,13.03,0
8,30,77,17.9,1,$17.90 ,,school,21,30,13,0
card,27,35,17.83,1,$17.83 ,,divison,20,24,12.99,0
collins,22,26,17.65,1,$17.65 ,,charlie,16,26,12.97,0
memorabilia,26,647,17.4,1,$17.40 ,,grand,19,75,12.96,0
they,35,55,17.39,1,$17.39 ,,chief,18,57,12.92,0
code,27,237,17.14,1,$17.14 ,,boat,24,90,12.91,0
5th,92,210,51.17,3,$17.06 ,,articles,24,52,12.89,0
ancestor,26,84,16.98,1,$16.98 ,,214,11,54,12.89,0
gerald,42,64,33.81,2,$16.91 ,,barnes,17,19,12.87,0
west,85,155,50.39,3,$16.80 ,,houston,16,37,12.87,0
bill,31,46,16.79,1,$16.79 ,,administration,13,15,12.86,0
p,134,242,83.86,5,$16.77 ,,craft,24,669,12.83,0
dog,74,204,50.14,3,$16.71 ,,powers,23,363,12.82,0
ft,27,38,16.69,1,$16.69 ,,ryan,18,22,12.81,0
view,20,37,16.65,1,$16.65 ,,famous,26,46,12.81,0
clark,48,68,33.27,2,$16.64 ,,helmets,21,7041,12.8,0
belgium,29,53,16.62,1,$16.62 ,,between,24,95,12.78,0
listing,59,103,33.16,2,$16.58 ,,dept,16,21,12.77,0
homer,24,30,16.5,1,$16.50 ,,carrier,23,38,12.77,0
evans,25,47,16.44,1,$16.44 ,,bud,19,28,12.77,0
scott,34,51,16.44,1,$16.44 ,,before,24,36,12.73,0
richard,201,289,130.89,8,$16.36 ,,dennis,19,37,12.72,0
india,25,50,16.35,1,$16.35 ,,injured,16,20,12.7,0
youtube,28,114,16.34,1,$16.34 ,,go,19,21,12.67,0
training,50,94,32.48,2,$16.24 ,,vintage,22,259,12.62,0
sam,22,44,16.2,1,$16.20 ,,chester,17,23,12.58,0
artillery,148,1306,64.25,4,$16.06 ,,ferguson,16,25,12.58,0
washington,102,191,48.13,3,$16.04 ,,pierce,17,19,12.57,0
stephen,28,48,15.92,1,$15.92 ,,edmund,18,30,12.57,0
th,33,50,15.91,1,$15.91 ,,historical,24,1284,12.56,0
jima,22,35,15.88,1,$15.88 ,,decorated,21,36,12.55,0
be,27,33,15.84,1,$15.84 ,,fields,19,50,12.54,0
45,90,110398,47.52,3,$15.84 ,,seaman,21,21,12.52,0
government,30,68,31.67,2,$15.83 ,,phillip,20,19,12.5,0
don,27,40,15.81,1,$15.81 ,,phillipines,18,22,12.45,0
ross,24,33,15.74,1,$15.74 ,,march,26,43,12.45,0
under,27,65,15.66,1,$15.66 ,,leslie,15,30,12.42,0
38,30,86,15.58,1,$15.58 ,,nebraska,18,24,12.38,0
airmen,23,57,15.56,1,$15.56 ,,infrantry,16,24,12.38,0
wright,28,41,15.51,1,$15.51 ,,maurice,18,38,12.38,0
muster,44,84,30.91,2,$15.46 ,,effects,24,57,12.35,0
iwo,21,34,15.34,1,$15.34 ,,abraham,30,55,12.33,0
need,17,25,15.29,1,$15.29 ,,parachute,19,32,12.33,0
id,22,31,15.27,1,$15.27 ,,ben,19,21,12.32,0
mountain,33,101,15.27,1,$15.27 ,,left,18,26,12.31,0
patch,22,52,15.11,1,$15.11 ,,cooper,21,28,12.27,0
alexander,51,69,30.13,2,$15.07 ,,1863,31,128,12.26,0
phillips,27,52,14.97,1,$14.97 ,,navel,12,23,12.25,0
ralph,98,148,59.67,4,$14.92 ,,wwiimemorial,27,104,12.24,0
green,49,71,29.83,2,$14.92 ,,female,18,24,12.18,0
dad's,18,30,14.85,1,$14.85 ,,atlantic,20,73,12.13,0
big,23,33,14.74,1,$14.74 ,,ambulance,19,29,12.11,0
